filename,image width,image height,class,xmin,ymin,xmax,ymax,width,height
27_jpg.rf.36f42adead9b8c49f7dee756a2827512.jpg,640,640,knife,329,597,368,635,39,38
4419_jpg.rf.370e6c04cc10974e79641115d6f7bbcf.jpg,640,640,knife,480,36,512,196,32,160
knife_705_jpg.rf.370fd844a38f6f472d7339ff626a038b.jpg,640,640,knife,294,215,452,296,158,81
gun_4m_static_0002984_jpg.rf.3727543c6fab0963bef5540f08646fd0.jpg,640,640,gun,353,336,391,503,38,167
knife_235_jpg.rf.3728cbdfd91fa2c7d2dc9daf0b385903.jpg,640,640,knife,116,80,456,634,340,554
KravMagaTraining258_jpg.rf.3733459b6343702b3a5c441468d9c01e.jpg,640,640,knife,197,71,272,185,75,114
batch_241_jpg.rf.373fa668a9b34f3106ffae42aed9e70f.jpg,640,640,gun,119,194,140,303,21,109
batch_241_jpg.rf.373fa668a9b34f3106ffae42aed9e70f.jpg,640,640,gun,246,56,293,117,47,61
batch_241_jpg.rf.373fa668a9b34f3106ffae42aed9e70f.jpg,640,640,gun,414,132,500,315,86,183
batch_241_jpg.rf.373fa668a9b34f3106ffae42aed9e70f.jpg,640,640,gun,41,539,164,639,123,100
batch_241_jpg.rf.373fa668a9b34f3106ffae42aed9e70f.jpg,640,640,gun,426,391,512,485,86,94
11_12_119_jpg.rf.374cb63483e8d1050f62272edd6fea5e.jpg,640,640,gun,0,0,620,607,620,607
batch_293_jpg.rf.374d534ea1bcc965350b4a8794e39f31.jpg,640,640,gun,75,227,107,310,32,83
batch_293_jpg.rf.374d534ea1bcc965350b4a8794e39f31.jpg,640,640,gun,320,9,638,307,318,298
batch_293_jpg.rf.374d534ea1bcc965350b4a8794e39f31.jpg,640,640,gun,197,484,218,506,21,22
batch_293_jpg.rf.374d534ea1bcc965350b4a8794e39f31.jpg,640,640,gun,556,489,577,509,21,20
1649338726-1571405_jpg.rf.3754bee6c1d3080008d64625fb6f1150.jpg,640,640,knife,352,171,420,609,68,438
102552159_3170_jpg.rf.37596d42a281b629ba58a3bf84bdd6cf.jpg,640,640,gun,41,175,526,429,485,254
Les_tontons_flingueurs-MP35-2_jpg.rf.37621d0a32b7c5394ff54d158500a15a.jpg,640,640,gun,195,364,376,440,181,76
77_jpg.rf.3770579948e0564bf849fd8883f6aef0.jpg,640,640,knife,89,93,511,636,422,543
batch_240_jpg.rf.3730ba4501c2e00c8c09225fd6df4daf.jpg,640,640,gun,93,143,142,261,49,118
batch_240_jpg.rf.3730ba4501c2e00c8c09225fd6df4daf.jpg,640,640,gun,320,33,467,292,147,259
batch_240_jpg.rf.3730ba4501c2e00c8c09225fd6df4daf.jpg,640,640,gun,219,545,271,636,52,91
batch_240_jpg.rf.3730ba4501c2e00c8c09225fd6df4daf.jpg,640,640,gun,466,500,488,598,22,98
batch_240_jpg.rf.3730ba4501c2e00c8c09225fd6df4daf.jpg,640,640,gun,425,574,441,634,16,60
gun_2_1_1__0008095_jpg.rf.37cc59ebd3e251232f95c6a9e7859c71.jpg,640,640,gun,113,316,146,349,33,33
6_22_2_0007184_jpg.rf.37730ac08ff769783ad7e5c2a2a61248.jpg,640,640,gun,185,217,226,322,41,105
knife_1105_jpg.rf.37432a2027defa6211b56be56386a4ff.jpg,640,640,knife,0,53,272,639,272,586
batch_356_jpg.rf.37722f9f84b2a452fb485f5a29aa441f.jpg,640,640,knife,120,225,139,262,19,37
batch_356_jpg.rf.37722f9f84b2a452fb485f5a29aa441f.jpg,640,640,knife,456,175,492,208,36,33
batch_356_jpg.rf.37722f9f84b2a452fb485f5a29aa441f.jpg,640,640,knife,139,509,175,537,36,28
batch_356_jpg.rf.37722f9f84b2a452fb485f5a29aa441f.jpg,640,640,knife,459,509,495,537,36,28
6_22_3_0002360_jpg.rf.3797e4341998351e00490fe1c137c362.jpg,640,640,gun,190,81,242,196,52,115
186_jpg.rf.37c8b6e035a9afb2c00cff41b83520cb.jpg,640,640,knife,345,6,420,409,75,403
6_22_3_0000796_jpg.rf.37cb7bfe605f463943a3900ebca3534c.jpg,640,640,gun,287,136,367,263,80,127
39_jpg.rf.37d00c493cc9362996a1bf3f4935de5e.jpg,640,640,knife,240,466,265,532,25,66
knife_881_jpg.rf.37d3ea93986f90def6cbe8c696a60d84.jpg,640,640,knife,122,291,186,492,64,201
6_jpg.rf.37d37ba583c78bbb859b3ac5acf17d12.jpg,640,640,knife,248,214,345,400,97,186
101116236_2589_jpg.rf.379164a93d6520aae80f1bf87911b127.jpg,640,640,gun,0,77,640,639,640,562
64_jpg.rf.37dc09dc43585a57ad264e227917adb9.jpg,640,640,knife,231,0,277,111,46,111
NoOneLives-Glock26_jpg.rf.3805b9ea8645b7da6f9463b980f48a94.jpg,640,640,gun,390,231,547,590,157,359
KravMagaTraining498_jpg.rf.381f848eacc1f511e2e66a370c1f4486.jpg,640,640,knife,220,194,258,292,38,98
knife_227_jpg.rf.381ac2655a7ac62e001650f11f8cc308.jpg,640,640,knife,83,62,438,433,355,371
M4A1EOT_jpg.rf.382f2fd3a85f064fc0c6b6885f716df0.jpg,640,640,gun,6,16,636,598,630,582
gun_2_1_1__0003895_jpg.rf.383242453de587c1a5c85640de9c1ba3.jpg,640,640,gun,290,372,328,427,38,55
101711297_24_jpg.rf.380502e0f170e71abe884bc5467334aa.jpg,640,640,gun,7,197,158,311,151,114
knife_1289_jpg.rf.37e31fb686d5b3aa901837af6f8cc3b7.jpg,640,640,knife,237,125,291,331,54,206
null_image.jpg,640,640,,,,,,0,0
batch_34_jpg.rf.3857a73885b356199d8836ec24373f81.jpg,640,640,gun,85,137,245,211,160,74
batch_34_jpg.rf.3857a73885b356199d8836ec24373f81.jpg,640,640,gun,551,80,621,159,70,79
batch_34_jpg.rf.3857a73885b356199d8836ec24373f81.jpg,640,640,gun,136,446,204,521,68,75
batch_34_jpg.rf.3857a73885b356199d8836ec24373f81.jpg,640,640,gun,409,364,445,479,36,115
gun_3_3_1__0000356_jpg.rf.386966504221f0ce0e59d3759d72d6d3.jpg,640,640,gun,264,324,308,497,44,173
11_12_489_jpg.rf.3846860f30243cc0dac2ad22d63644bf.jpg,640,640,gun,0,0,604,608,604,608
11_12_1562_jpg.rf.388432d4cd6894894ae46ef614b6cfce.jpg,640,640,gun,7,14,637,628,630,614
1011133951_95_jpg.rf.388183c93081c270fede12d8bfc2ab8c.jpg,640,640,gun,268,20,630,403,362,383
