               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077043,            0.023601,             0.01991,             0.42377,             0.45895,             0.39332,             0.13959,            0.052219,           0.0092347,           0.0052592,            0.070147,            0.003317,            0.003317
                   1,            0.055299,            0.018252,            0.005803,             0.68247,              0.6221,             0.67673,             0.27499,            0.044992,           0.0080811,           0.0028769,            0.040103,           0.0066064,           0.0066064
                   2,            0.051848,            0.017453,            0.005079,             0.61893,              0.5183,             0.54346,             0.22743,            0.045705,           0.0094609,           0.0051422,            0.010015,           0.0098519,           0.0098519
                   3,            0.050517,            0.018408,           0.0058583,              0.6011,             0.49025,             0.51364,             0.18786,            0.052216,           0.0095655,            0.004828,            0.009802,            0.009802,            0.009802
                   4,            0.048221,             0.01789,           0.0050878,             0.67127,             0.56131,             0.63732,             0.26737,            0.043878,           0.0098723,           0.0032072,            0.009802,            0.009802,            0.009802
                   5,            0.046032,            0.017302,           0.0042538,             0.70915,             0.57564,             0.66149,             0.29243,            0.041902,           0.0090259,           0.0031037,            0.009736,            0.009736,            0.009736
                   6,            0.044526,            0.016991,           0.0037246,             0.73165,             0.63392,              0.7047,             0.32194,            0.042856,            0.008303,           0.0029213,             0.00967,             0.00967,             0.00967
                   7,             0.04301,            0.016406,           0.0034867,             0.79677,             0.73304,             0.80726,             0.38386,            0.039086,            0.007627,           0.0016059,            0.009604,            0.009604,            0.009604
                   8,            0.042228,            0.016309,           0.0030514,             0.78929,             0.64228,             0.73847,             0.36072,            0.040241,            0.008166,           0.0034316,            0.009538,            0.009538,            0.009538
                   9,              0.0412,            0.015811,           0.0031101,             0.80056,             0.70629,             0.79544,             0.38524,            0.038995,           0.0076856,           0.0026047,            0.009472,            0.009472,            0.009472
                  10,            0.040676,            0.015477,           0.0027653,             0.85951,             0.76871,             0.84983,             0.41423,            0.037022,           0.0073166,           0.0013543,            0.009406,            0.009406,            0.009406
                  11,            0.040057,            0.015617,           0.0026608,             0.85518,             0.77166,              0.8589,             0.43726,            0.036335,           0.0071182,             0.00111,             0.00934,             0.00934,             0.00934
                  12,            0.039736,             0.01522,           0.0026183,             0.84346,             0.79333,             0.86596,             0.44621,            0.035664,           0.0069936,           0.0010744,            0.009274,            0.009274,            0.009274
                  13,            0.038511,            0.014985,           0.0022706,             0.85581,              0.8147,             0.87844,             0.45299,            0.035827,           0.0070217,           0.0013515,            0.009208,            0.009208,            0.009208
                  14,            0.038486,            0.014871,           0.0020918,             0.87002,             0.78232,             0.86675,             0.45693,            0.035253,           0.0071236,           0.0014449,            0.009142,            0.009142,            0.009142
                  15,            0.037996,            0.014658,           0.0019954,             0.87879,             0.80275,             0.88378,             0.47084,             0.03413,           0.0068043,          0.00093626,            0.009076,            0.009076,            0.009076
                  16,            0.037778,            0.014692,           0.0021846,             0.88748,              0.8016,             0.88735,             0.46974,            0.033943,           0.0068152,           0.0011527,             0.00901,             0.00901,             0.00901
                  17,            0.037137,            0.014248,           0.0019447,             0.89063,             0.80977,             0.89078,             0.47282,             0.03444,           0.0068834,           0.0016486,            0.008944,            0.008944,            0.008944
                  18,            0.037291,            0.014615,           0.0021621,             0.86448,              0.8062,             0.88191,             0.47746,            0.033675,           0.0068407,          0.00096002,            0.008878,            0.008878,            0.008878
                  19,            0.036107,            0.014157,           0.0017489,             0.87084,             0.81948,             0.88299,             0.47944,            0.034391,           0.0067612,           0.0017232,            0.008812,            0.008812,            0.008812
                  20,            0.036249,            0.014152,           0.0016283,               0.885,             0.82481,             0.89674,             0.48752,            0.033893,            0.006655,          0.00098606,            0.008746,            0.008746,            0.008746
                  21,            0.036215,            0.013957,           0.0016651,             0.86174,             0.84258,             0.89406,             0.48575,            0.033632,           0.0066339,           0.0010136,             0.00868,             0.00868,             0.00868
                  22,            0.035821,            0.014197,           0.0018532,             0.88052,             0.82571,              0.9011,             0.49149,            0.032964,           0.0068048,           0.0013017,            0.008614,            0.008614,            0.008614
                  23,            0.035664,            0.014065,           0.0017347,             0.88642,             0.83433,             0.89663,             0.49253,            0.033113,           0.0065895,           0.0011316,            0.008548,            0.008548,            0.008548
                  24,            0.035574,            0.014263,           0.0015258,             0.90114,             0.82373,              0.9006,             0.50211,            0.032294,           0.0065409,          0.00097116,            0.008482,            0.008482,            0.008482
                  25,             0.03533,            0.013829,           0.0017978,             0.89045,             0.83653,             0.90465,              0.4984,            0.032514,           0.0066169,          0.00099041,            0.008416,            0.008416,            0.008416
                  26,            0.034952,             0.01388,           0.0017639,             0.89234,             0.83459,             0.90306,             0.50955,            0.032565,           0.0065744,          0.00099622,             0.00835,             0.00835,             0.00835
                  27,            0.034938,            0.013791,           0.0014432,             0.89112,             0.84084,             0.90558,             0.49983,             0.03324,           0.0065213,          0.00085416,            0.008284,            0.008284,            0.008284
                  28,            0.034384,              0.0134,           0.0015232,             0.88988,             0.85912,              0.9146,             0.51436,            0.032144,           0.0064746,          0.00079937,            0.008218,            0.008218,            0.008218
                  29,            0.034232,            0.013468,           0.0015955,              0.8799,             0.86304,             0.91556,             0.51779,            0.031765,           0.0065161,          0.00086778,            0.008152,            0.008152,            0.008152
                  30,            0.034102,            0.013671,           0.0014592,             0.90309,             0.86681,             0.92126,             0.52061,            0.031996,           0.0063304,          0.00061248,            0.008086,            0.008086,            0.008086
