                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6977,                 2.3524,                 1.7499,                0.71536,                0.61289,                0.68925,                0.34026,                 1.6861,                 1.4956,                 1.7335,               0.070069,              0.0033257,              0.0033257
                      1,                 1.5378,                 1.5546,                 1.5805,                0.69598,                0.60457,                0.66403,                0.32108,                 1.7388,                 1.4795,                 1.8038,               0.039805,              0.0063953,              0.0063953
                      2,                 1.6407,                 1.6727,                 1.6488,                0.65092,                 0.5637,                0.61562,                0.30075,                 1.7601,                 1.6394,                 1.8412,              0.0092777,              0.0092009,              0.0092009
                      3,                 1.6986,                 1.8233,                 1.7114,                0.67025,                 0.5414,                0.58392,                0.28087,                 1.8167,                 1.7915,                 1.8841,               0.008812,               0.008812,               0.008812
                      4,                 1.6645,                 1.7414,                 1.6794,                0.73511,                0.59557,                0.68731,                0.34001,                 1.7271,                 1.4737,                 1.8338,               0.008812,               0.008812,               0.008812
                      5,                 1.6202,                 1.6303,                 1.6514,                0.74081,                0.68082,                0.74883,                0.38736,                 1.6689,                 1.3336,                 1.7439,               0.008416,               0.008416,               0.008416
                      6,                 1.5614,                 1.5292,                 1.6096,                0.79751,                0.67405,                0.77526,                0.40561,                 1.6079,                 1.2854,                 1.7034,                0.00802,                0.00802,                0.00802
                      7,                 1.5391,                 1.4385,                 1.5792,                0.80609,                0.69919,                0.78636,                0.41869,                 1.6124,                 1.1946,                 1.7294,               0.007624,               0.007624,               0.007624
                      8,                  1.495,                 1.3805,                 1.5574,                0.79404,                0.69106,                0.78111,                0.41604,                 1.5915,                  1.192,                 1.7076,               0.007228,               0.007228,               0.007228
                      9,                 1.4687,                 1.3401,                 1.5336,                0.83841,                0.76241,                0.84194,                0.45731,                 1.5434,                 1.0344,                 1.6523,               0.006832,               0.006832,               0.006832
                     10,                 1.4494,                 1.2708,                 1.5221,                0.83177,                0.76706,                0.84471,                0.47664,                 1.5081,                 1.0285,                 1.6252,               0.006436,               0.006436,               0.006436
                     11,                 1.4172,                 1.2255,                  1.489,                0.85651,                0.75719,                0.84923,                0.47848,                 1.5077,                 1.0182,                 1.6111,                0.00604,                0.00604,                0.00604
                     12,                  1.395,                 1.1759,                 1.4685,                0.85276,                0.79308,                0.86391,                0.48537,                 1.5045,                0.95285,                 1.6007,               0.005644,               0.005644,               0.005644
                     13,                 1.3776,                 1.1299,                  1.443,                0.87298,                 0.8041,                0.87982,                0.50388,                 1.4726,                0.92384,                 1.5579,               0.005248,               0.005248,               0.005248
                     14,                 1.3526,                 1.0925,                 1.4289,                0.89219,                0.80693,                0.88556,                0.51926,                 1.4277,                0.88531,                 1.5529,               0.004852,               0.004852,               0.004852
                     15,                  1.355,                0.92662,                 1.4741,                0.87841,                0.81521,                0.88869,                0.51792,                 1.4209,                 0.8964,                 1.5666,               0.004456,               0.004456,               0.004456
                     16,                 1.3135,                0.87411,                 1.4437,                0.89313,                 0.8278,                0.90205,                0.53382,                 1.4169,                 0.8364,                  1.536,                0.00406,                0.00406,                0.00406
                     17,                 1.3037,                0.82545,                 1.4316,                0.88752,                0.83329,                0.89742,                0.53987,                 1.4053,                0.82379,                 1.5403,               0.003664,               0.003664,               0.003664
                     18,                 1.2736,                0.79666,                 1.4062,                0.88432,                0.83521,                0.89968,                0.54544,                 1.3797,                0.79583,                 1.5108,               0.003268,               0.003268,               0.003268
                     19,                 1.2412,                0.75236,                 1.3831,                0.91029,                0.84758,                0.91327,                0.55957,                 1.3649,                0.76032,                 1.4968,               0.002872,               0.002872,               0.002872
                     20,                 1.2115,                0.71087,                 1.3561,                0.90052,                 0.8558,                0.91562,                0.56364,                 1.3581,                 0.7402,                 1.4917,               0.002476,               0.002476,               0.002476
                     21,                 1.1853,                0.68685,                 1.3404,                0.92169,                0.86646,                0.92722,                0.57173,                 1.3548,                0.71611,                  1.486,                0.00208,                0.00208,                0.00208
                     22,                 1.1546,                0.64578,                 1.3188,                0.92113,                0.86641,                0.92401,                0.58155,                 1.3374,                0.69867,                 1.4647,               0.001684,               0.001684,               0.001684
                     23,                 1.1194,                0.61864,                 1.2871,                0.92285,                0.87875,                0.92924,                0.58517,                 1.3285,                0.66938,                 1.4616,               0.001288,               0.001288,               0.001288
                     24,                 1.0951,                0.58943,                 1.2748,                0.92585,                0.87793,                0.92924,                0.58987,                 1.3186,                0.66263,                 1.4538,               0.000892,               0.000892,               0.000892
