               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076514,            0.023405,            0.020189,             0.50968,             0.45267,             0.43233,             0.14656,            0.051618,           0.0089982,           0.0048275,            0.070074,           0.0033251,           0.0033251
                   1,            0.055348,            0.018551,           0.0064483,             0.66794,             0.58818,             0.64215,             0.26918,            0.044631,           0.0087835,           0.0033724,             0.04003,           0.0066145,           0.0066145
                   2,            0.051903,            0.017798,           0.0056914,             0.71763,             0.59331,             0.65954,             0.27255,            0.043814,           0.0085109,           0.0033395,           0.0099418,           0.0098599,           0.0098599
                   3,            0.050903,            0.018691,           0.0063821,             0.66906,             0.53579,             0.59337,             0.24454,            0.044846,           0.0092824,           0.0054953,            0.009802,            0.009802,            0.009802
                   4,            0.048815,            0.018127,           0.0051451,             0.69794,             0.59164,              0.6621,             0.29861,             0.04257,           0.0089183,           0.0031604,            0.009802,            0.009802,            0.009802
                   5,            0.046763,            0.017701,           0.0045314,             0.76035,             0.66232,             0.74628,             0.33533,            0.039804,           0.0083006,           0.0020375,            0.009736,            0.009736,            0.009736
                   6,            0.044866,            0.017183,           0.0040046,             0.79147,             0.69479,             0.78281,             0.36645,            0.038286,            0.007784,           0.0017667,             0.00967,             0.00967,             0.00967
                   7,            0.043365,             0.01663,           0.0036557,             0.81606,             0.70639,             0.79319,             0.38512,            0.038085,           0.0077889,           0.0031142,            0.009604,            0.009604,            0.009604
                   8,            0.043047,             0.01645,           0.0036091,             0.83453,             0.73121,             0.81958,             0.40199,            0.036769,           0.0076529,            0.001772,            0.009538,            0.009538,            0.009538
                   9,            0.041814,             0.01579,           0.0031302,              0.8362,             0.74949,              0.8337,             0.40698,            0.035868,             0.00755,           0.0013842,            0.009472,            0.009472,            0.009472
                  10,            0.040823,            0.015712,           0.0028998,             0.81705,             0.74424,             0.83403,             0.41582,            0.035126,           0.0074664,           0.0016106,            0.009406,            0.009406,            0.009406
                  11,            0.040244,            0.015724,           0.0027613,             0.83233,             0.79413,             0.86106,             0.44109,            0.034367,           0.0070486,           0.0014681,             0.00934,             0.00934,             0.00934
                  12,            0.039847,            0.015367,           0.0026059,             0.84849,             0.78368,             0.86524,             0.44233,            0.034003,            0.007022,            0.001326,            0.009274,            0.009274,            0.009274
                  13,            0.038882,            0.015145,           0.0025607,             0.85432,             0.79957,             0.86567,              0.4547,            0.034194,           0.0070092,           0.0013537,            0.009208,            0.009208,            0.009208
                  14,            0.038824,            0.015143,           0.0024631,             0.85143,             0.80231,             0.86816,             0.46353,            0.033593,           0.0070139,           0.0010453,            0.009142,            0.009142,            0.009142
                  15,             0.03834,            0.014907,            0.002056,             0.89078,             0.79657,             0.88278,             0.46695,            0.033547,           0.0069001,          0.00096966,            0.009076,            0.009076,            0.009076
                  16,            0.038122,             0.01479,           0.0024064,             0.87993,             0.79041,             0.88291,             0.47062,            0.032823,           0.0069351,           0.0017677,             0.00901,             0.00901,             0.00901
                  17,            0.037719,            0.014634,           0.0020899,             0.87243,             0.83083,              0.8941,             0.48007,            0.033103,           0.0067486,           0.0015814,            0.008944,            0.008944,            0.008944
                  18,            0.037636,             0.01466,            0.002225,             0.88475,             0.80596,             0.89084,             0.47559,            0.033448,           0.0067676,           0.0010133,            0.008878,            0.008878,            0.008878
                  19,            0.037085,            0.014675,           0.0020568,             0.88442,             0.81106,             0.88574,             0.47044,            0.032882,           0.0068166,          0.00098653,            0.008812,            0.008812,            0.008812
                  20,             0.03695,            0.014446,           0.0020218,             0.89355,             0.80964,             0.89557,             0.48164,            0.032449,           0.0067186,           0.0010325,            0.008746,            0.008746,            0.008746
                  21,            0.036617,            0.014299,             0.00198,             0.88923,             0.83874,             0.89888,             0.48524,            0.032477,           0.0066787,           0.0013429,             0.00868,             0.00868,             0.00868
                  22,            0.036539,            0.014539,           0.0021754,             0.88694,             0.83282,             0.89911,             0.49716,            0.032351,           0.0067293,           0.0010492,            0.008614,            0.008614,            0.008614
                  23,            0.036073,            0.014168,           0.0017538,             0.89745,             0.83994,             0.90859,             0.50008,            0.031859,           0.0065306,          0.00083318,            0.008548,            0.008548,            0.008548
                  24,            0.035922,            0.014319,           0.0019083,             0.89054,             0.83658,             0.90333,             0.49924,            0.032111,           0.0065405,          0.00077504,            0.008482,            0.008482,            0.008482
                  25,            0.036014,            0.014075,            0.001825,             0.89822,             0.83012,             0.89926,             0.49331,            0.032078,           0.0065695,          0.00074515,            0.008416,            0.008416,            0.008416
                  26,            0.035219,            0.014082,           0.0017629,             0.88209,             0.84659,             0.90701,             0.50557,            0.031507,           0.0065147,          0.00096899,             0.00835,             0.00835,             0.00835
                  27,            0.035091,            0.013918,           0.0016133,             0.90189,             0.83102,             0.90499,             0.51143,            0.031078,           0.0064638,          0.00081258,            0.008284,            0.008284,            0.008284
                  28,            0.034857,            0.013667,           0.0014895,             0.91841,             0.84945,              0.9174,             0.52277,            0.030899,            0.006408,           0.0009636,            0.008218,            0.008218,            0.008218
                  29,            0.034592,            0.013721,           0.0017772,             0.90616,             0.86425,             0.92383,             0.52171,            0.030964,           0.0063403,          0.00068353,            0.008152,            0.008152,            0.008152
                  30,            0.034541,            0.013864,           0.0017145,             0.88351,              0.8521,             0.90867,             0.50764,            0.031656,           0.0064987,            0.001125,            0.008086,            0.008086,            0.008086
                  31,            0.034043,            0.013512,           0.0014873,             0.90016,               0.859,              0.9177,             0.52976,            0.030942,           0.0063319,          0.00088765,             0.00802,             0.00802,             0.00802
                  32,            0.033908,            0.013544,           0.0015554,             0.88698,             0.86167,             0.91221,             0.52035,            0.030587,           0.0063921,          0.00079446,            0.007954,            0.007954,            0.007954
                  33,            0.033832,             0.01341,           0.0014675,             0.90947,             0.85914,             0.91916,             0.52139,            0.030749,           0.0063636,          0.00062362,            0.007888,            0.007888,            0.007888
                  34,            0.034049,            0.013617,           0.0014587,             0.88742,             0.86519,             0.91525,             0.52591,             0.03078,           0.0063708,          0.00076486,            0.007822,            0.007822,            0.007822
